Date,Open,High,Low,Close,Volume,Adj Close
2013-09-09,505.00,507.92,503.48,506.17,12116200,506.17
2013-09-06,498.44,499.38,489.95,498.22,12788700,498.22
2013-09-05,500.25,500.68,493.64,495.27,8402100,495.27
2013-09-04,499.56,502.24,496.28,498.69,12299300,498.69
2013-09-03,493.10,500.60,487.35,488.58,11854600,488.58
2013-08-30,492.00,492.95,486.50,487.22,9724900,487.22
2013-08-29,491.65,496.50,491.13,491.70,8559200,491.70
2013-08-28,486.00,495.80,486.00,490.90,10986000,490.90
2013-08-27,498.00,502.51,486.30,488.59,15149600,488.59
2013-08-26,500.75,510.20,500.50,502.97,11820200,502.97
2013-08-23,503.27,503.35,499.35,501.02,7954700,501.02
2013-08-22,504.98,505.59,498.20,502.96,8721700,502.96
2013-08-21,503.59,507.15,501.20,502.36,11995700,502.36
2013-08-20,509.71,510.57,500.82,501.07,12810300,501.07
2013-08-19,504.34,513.74,504.00,507.74,18232800,507.74
2013-08-16,500.15,502.94,498.86,502.33,12939500,502.33
2013-08-15,496.42,502.40,489.08,497.91,17510500,497.91
2013-08-14,497.88,504.25,493.40,498.50,27013300,498.50
2013-08-13,470.94,494.66,468.05,489.57,31497900,489.57
2013-08-12,456.86,468.65,456.63,467.36,13015500,467.36
2013-08-09,458.64,460.46,453.65,454.45,9530900,454.45
2013-08-08,463.86,464.10,457.95,461.01,9134900,461.01
2013-08-07,463.80,467.00,461.77,464.98,10673500,461.93
2013-08-06,468.02,471.89,462.17,465.25,11959200,462.20
2013-08-05,464.69,470.67,462.15,469.45,11387700,466.37
2013-08-02,458.01,462.85,456.66,462.54,9813700,459.51
2013-08-01,455.75,456.80,453.26,456.68,7366100,453.68
2013-07-31,454.99,457.34,449.43,452.53,11534200,449.56
2013-07-30,449.96,457.15,449.23,453.32,11050800,450.35
2013-07-29,440.80,449.99,440.20,447.79,8859200,444.85
2013-07-26,435.30,441.04,434.34,440.99,7148300,438.10
2013-07-25,440.70,441.40,435.81,438.50,8196200,435.62
2013-07-24,438.93,444.59,435.26,440.51,21140600,437.62
2013-07-23,426.00,426.96,418.71,418.99,13192700,416.24
2013-07-22,429.46,429.75,425.47,426.31,7421300,423.51
2013-07-19,433.10,433.98,424.35,424.95,9597200,422.16
2013-07-18,433.38,434.87,430.61,431.76,7817100,428.93
2013-07-17,429.70,432.22,428.22,430.31,7106800,427.49
2013-07-16,426.52,430.71,424.17,430.20,7733500,427.38
2013-07-15,425.01,431.46,424.80,427.44,8639900,424.64
2013-07-12,427.65,429.79,423.41,426.51,9984400,423.71
2013-07-11,422.95,428.25,421.17,427.29,11653300,424.49
2013-07-10,419.60,424.80,418.25,420.73,10050200,417.97
2013-07-09,413.60,423.50,410.38,422.35,12592300,419.58
2013-07-08,420.11,421.00,410.65,415.05,10647800,412.33
2013-07-05,420.39,423.29,415.35,417.42,9786600,414.68
2013-07-03,420.86,422.98,417.45,420.80,8604600,418.04
2013-07-02,409.96,421.63,409.47,418.49,16780900,415.74
2013-07-01,402.69,412.27,401.22,409.22,13966200,406.54
2013-06-28,391.36,400.27,388.87,396.53,20661300,393.93
2013-06-27,399.25,401.39,393.54,393.78,12044500,391.20
2013-06-26,403.90,404.79,395.66,398.07,13133000,395.46
2013-06-25,405.70,407.79,398.83,402.63,11220100,399.99
2013-06-24,407.40,408.66,398.05,402.54,17169500,399.90
2013-06-21,418.49,420.00,408.10,413.50,17182800,410.79
2013-06-20,419.30,425.98,415.17,416.84,12761100,414.11
2013-06-19,431.40,431.66,423.00,423.00,11105000,420.23
2013-06-18,431.56,434.90,430.21,431.77,6965200,428.94
